Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,22u,C361061
C10,0402,1,1u,C14445
"C11, C12, C17, C18, C19, C20, C21, C22, C23, C24",0402,10,100n,C155422
"C13, C3, C4, C7",0402,4,2.2u,C170151
"C14, C5, C8, C9",0603,4,10u,C96446
"C15, C16",0402,2,12p,C26406
C2,0805,1,47u,C471380
C25,CP_EIA-6032-28_Kemet-C,1,47u,C7219
C6,0402,1,47n,C307339
D1,0402,1,LED,C130719
D2,D_SOD-523,1,BAT54XV2T1G,C81572
D3,LED_WS2812B-2020_PLCC4_2.0x2.0mm,1,WS2812B-2020,C965555
F1,1812,1,ASMD1812-300,C2982284
F2,1206,1,3A,C14165
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_16P,C963413
J2,CONN-SMD_SM02B-PASS-TLFSN,1,BAT,C495198
JP3,CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN,1,PIR SENS,C160404
"L1, L2",L1008,2,1u,C882955
"Q1, Q2",TSST8-8_L3.0-W1.6-P0.65-LS2.0-BL,2,RT1A050ZPTR,C308756
Q4,U-DFN2030-6_L2.0-W3.0-P0.65-BL-EP,1,DMN2016LHAB-7,C264091
"R1, R10, R11, R12, R14, R15, R22, R23, R4",0402,9,10k,C71617
R16,0402,1,80k 1%,C25921
R17,0402,1,20,C138031
R18,0402,1,300,C25102
R19,1206,1,3m 1%,C601095
R2,0402,1,511k,C64042
R20,0402,1,2k,C60488
R21,1206,1,0.5m 1%,C521527
R24,0402,1,10M,C26082
R3,0402,1,91k,C4147
"R5, R6",0402,2,5k1,C25905
R7,0402,1,20k 1%,C25765
R8,0402,1,1k,C11702
R9,0402,1,51k,C25794
RN1,R_Array_Concave_4x0402,1,2.2k,C148505
"SW1, SW2",KEY-SMD_KMR2XXGXXX,2,KMR221GLFS,C72443
U1,X2QFN-8_L1.5-W1.5-P0.50-TL,1,BQ298015RUGR,C3681805
U2,WIFIM-SMD_61P-L16.6-W13.2-P0.80-ESP32-C6-MINI-1-N4,1,ESP32-C6-MINI-1-N4,C5736265
U3,DFN-8_L2.0-W2.0-P0.50-BL-EP,1,MAX17048G+T10,C2682616
U5,SOT-23-6,1,USBLC6-2SC6,C7519
U6,Bosch_LGA-8_3x3mm_P0.8mm_ClockwisePinNumbering,1,BME688,C3664478
U7,QFN-16_L3.0-W3.0-P0.50-BL-EP1.7,1,BQ25300RTER,C2763848
U8,SOT-563,1,SN74LVC1T45DRL,C352970
U9,SOT-583-8_L2.1-W1.2-P0.50-LS1.6-BL,1,TPS631000DRLR,C5219190
Y1,Crystal_SMD_2012-2Pin_2.0x1.2mm,1,32.768KHZ,C5341285
